study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA1123238	Canis lupus familiaris	9615.0		USA:Ohio,Columbus	67	WGS	pubmed	39149494.0	39149494	Evaluating urine volume and host depletion methods to enable genome-resolved metagenomics of the urobiome.	Lewis ZJ	Hale VL	Mammalia	BACKGROUND: The gut microbiome has emerged as a clear player in health and disease, in part by mediating host response to environment and lifestyle. The urobiome (microbiota of the urinary tract) likely functions similarly. However, efforts to characterize the urobiome and assess its functional potential have been limited due to technical challenges including low microbial biomass and high host cell shedding in urine. Here, to begin addressing these challenges, we evaluate urine sample volume (100 ml - 5 mL), and host DNA depletion methods and their effects on urobiome profiles in healthy dogs, which are a robust large animal model for the human urobiome. We collected urine from seven dogs and fractionated samples into aliquots. One set of samples was spiked with host (canine) cells to model a biologically relevant host cell burden in urine. Samples then underwent DNA extraction followed by 16S rRNA gene and shotgun metagenomic sequencing. We then assembled metagenome assembled genomes (MAGs) and compared microbial composition and diversity across groups. We tested six methods of DNA extraction: QIAamp BiOstic Bacteremia (no host depletion), QIAamp DNA Microbiome, Molzym MolYsis, NEBNext Microbiome DNA Enrichment, Zymo HostZERO, and Propidium Monoazide. RESULTS: In relation to urine sample volume, 3 3.0 mL resulted in the most consistent urobiome profiling. In relation to host depletion, individual (dog) but not extraction method drove overall differences in microbial composition. DNA Microbiome yielded the greatest microbial diversity in 16S rRNA sequencing data and shotgun metagenomic sequencing data, and maximized MAG recovery while effectively depleting host DNA in host-spiked urine samples. As proof-of-principle, we then mined MAGs for core metabolic functions and environmental chemical metabolism. We identified long chain alkane utilization in two of the urine MAGs. Long chain alkanes are common pollutants that result from industrial combustion processes and end up in urine. CONCLUSIONS: This is the first study, to our knowledge, to demonstrate environmental chemical degradation potential in urine microbes through genome-resolved metagenomics. These findings provide guidelines for studying the urobiome in relation to sample volume and host depletion, and lay the foundation for future evaluation of urobiome function in relation to health and disease.		Research square
PRJEB66438	Canis lupus familiaris	9615.0	Intestines	Norway	33	WGS	pubmed	38481663.0	38481663	Defining a metagenomic threshold for detecting low abundances of Providencia alcalifaciens in canine faecal samples.	Aardal AM	Llarena AK	Mammalia	INTRODUCTION: Acute haemorrhagic diarrhoea syndrome (AHDS) in dogs is a condition of unknown aetiology. Providencia alcalifaciens is suspected to play a role in the disease as it was commonly found in dogs suffering from AHDS during a Norwegian outbreak in 2019. The role of this bacterium as a constituent of the canine gut microbiota is unknown, hence this study set out to investigate its occurrence in healthy dogs using metagenomics. MATERIALS AND METHODS: To decrease the likelihood of false detection, we established a metagenomic threshold for P. alcalifaciens by spiking culture-negative stool samples with a range of bacterial dilutions and analysing these by qPCR and shotgun metagenomics. The detection limit for P. alcalifaciens was determined and used to establish a metagenomic threshold. The threshold was validated on naturally contaminated faecal samples with known cultivation status for P. alcalifaciens. Finally, the metagenomic threshold was used to determine the occurrence of P. alcalifaciens in shotgun metagenomic datasets from canine faecal samples (n=362) collected in the HUNT One Health project. RESULTS: The metagenomic assay and qPCR had a detection limit of 1.1x103 CFU P. alcalifaciens per faecal sample, which corresponded to a Cq value of 31.4 and 569 unique k-mer counts by shotgun metagenomics. Applying this metagenomic threshold to 362 faecal metagenomic datasets from healthy dogs, P. alcalifaciens was found in only 1.1% (95% CI [0.0, 6.8]) of the samples, and then in low relative abundances (median: 0.04%; range: 0.00 to 0.81%). The sensitivity of the qPCR and shotgun metagenomics assay was low, as only 40% of culture-positive samples were also positive by qPCR and metagenomics. DISCUSSION: Using our detection limit, the occurrence of P. alcalifaciens in faecal samples from healthy dogs was low. Given the low sensitivity of the metagenomic assay, these results do not rule out a significantly higher occurrence of this bacterium at a lower abundance.		Frontiers in cellular and infection microbiology
PRJNA889347	Gallus gallus	9031.0		Thailand	1	AMPLICON	pubmed	41539238.0	41539238							
PRJEB56324					40	WGS	ena_only									
PRJEB35362					17	WGS	pubmed	32337106.0	32337106	CoproID predicts the source of coprolites and paleofeces using microbiome composition and host DNA content.	Borry M	Warinner C	Mammalia	Shotgun metagenomics applied to archaeological feces (paleofeces) can bring new insights into the composition and functions of human and animal gut microbiota from the past. However, paleofeces often undergo physical distortions in archaeological sediments, making their source species difficult to identify on the basis of fecal morphology or microscopic features alone. Here we present a reproducible and scalable pipeline using both host and microbial DNA to infer the host source of fecal material. We apply this pipeline to newly sequenced archaeological specimens and show that we are able to distinguish morphologically similar human and canine paleofeces, as well as non-fecal sediments, from a range of archaeological contexts.		PeerJ
PRJDB18770	Sus scrofa	9823.0		Japan	60	WGS	ena_only									
PRJNA52169	Delftia acidovorans CCUG 15835			missing	1	WGS	pubmed	31404163.0	31404163							
PRJNA790716	Aedes aegypti				35	AMPLICON	pubmed	35208787.0	35208787							
PRJNA947914	Salmo salar	8030.0		Norway: Dirdal	79	WGA	ena_only									
PRJDB36846	Mus sp.	10095.0		missing: data agreement established pre-2023	36	WGS	ena_only									
PRJDB38623	Naja atra			missing: data agreement established pre-2023	95	RNA-Seq	ena_only									
PRJNA1062915	Rattus norvegicus	10116.0		China:Nanjing	12	WGS	pubmed	41676120.0	41676120							
PRJNA1209333	Homo sapiens	9606.0		China: Guangzhou, Guangdong	1	WGS	pubmed	40862149.0	40862149	The mitigative effects of Blautia producta 1009924 on DSS-induced intestinal inflammation.	Chen Y	Yu H	Actinopterygii	INTRODUCTION: The gut microbiota plays a crucial role in the treatment of inflammatory bowel disease (IBD). Recent studies have shown that the abundance of Blautia producta is associated with host inflammatory bowel disease (IBD), yet its specific mechanism of action remains to be further investigated. METHODS: The strain Blautia producta 1009924 (B. producta 1009924) was isolated from fresh fecal samples, and its biological characteristics and genomic features were analyzed. In this study, a zebrafish intestinal inflammation model was established by induction with 0.5% dextran sulfate sodium (DSS) for 72 h to evaluate the effect of B. producta 1009924 on alleviating intestinal inflammation. RESULTS: This strain B. producta 1009924 is a strict anaerobe, forming circular, off-white colonies on BHI medium. It is Gram-positive, arranged in chains, and field emission scanning electron microscopy revealed abundant surface folds and pilus structures, along with excellent acid and bile salt tolerance. Whole-genome sequencing showed a total gene length of 6.05 Mb, a GC content of 45.72%, and 5,214 coding genes with no virulence genes. KEGG database annotation indicated that its gene functions are mainly enriched in metabolic pathways, environmental information processing, and genetic information processing, with abundant gene clusters involved in lipid metabolism and short-chain fatty acid (SCFA) metabolic pathways. Compared with the DSS-induced enteritis model group, B. producta 1009924 inhibited reactive oxygen species (ROS) production and neutrophil accumulation in zebrafish intestines. Histopathological analysis confirmed that it alleviated DSS-induced intestinal tissue damage, such as increasing goblet cell numbers and improving intestinal villus architecture. Real-time quantitative polymerase chain reaction (RT-qPCR) analysis demonstrated that B. producta 1009924 suppressed the activation of the TLR4/NF-κB signaling pathway by downregulating the expression of TLR4, MyD88, and NF-κB genes, thereby reducing the expression of pro-inflammatory factors (IL-6, IL-12) and the immune factor IL-10. Additionally, metabolomic analysis revealed that B. producta 1009924 regulated intestinal metabolism by increasing SCFA levels, including butyric acid and isovaleric acid. CONCLUSION: Blautia producta 1009924 significantly alleviates DSS-induced intestinal inflammation in zebrafish by regulating ROS levels, inhibiting excessive immune and inflammatory responses, and improving SCFA metabolism, highlighting its potential as a candidate strain for IBD treatment.		Frontiers in microbiology
PRJDB5383	Bos taurus	9913.0		Japan:Kagoshima	3	WGS	ena_only									
PRJEB60284	Phoca vitulina			Netherlands	917	AMPLICON	pubmed	40702575.0	40702575	Antimicrobial treatment affects the microbiome and resistome of both treated and untreated rehabilitating harbour seals (Phoca vitulina).	Rubio-Garcia A	Zomer AL	Mammalia	BACKGROUND: Antimicrobial use has contributed to the alarming rise of antimicrobial resistance (AMR), posing a significant global health threat. Effective AMR control requires a One Health approach. The presence of AMR in the environment can challenge wildlife conservation, as resistance may reduce treatment success. This study investigates the impact of antimicrobial treatment on the gut microbiome and resistome of harbour seals (Phoca vitulina) undergoing rehabilitation at the Sealcentre Pieterburen, the Netherlands. A longitudinal cohort study was conducted with 200 seals, from which 127 were treated with antimicrobials and 73 were not treated. Samples were collected before and during rehabilitation, including before and after treatment and analysed using 16 S rRNA gene sequencing, shotgun metagenomics, and targeted qPCR. RESULTS: We observed a significant but transient decrease in gut microbiome alpha diversity following antimicrobial treatment, with a recovery observed by the time of release. Beta diversity analysis indicated persistent changes in microbial composition post-treatment. An increase in antimicrobial resistance gene load was observed in treated seals, with some resistance genes remaining high at release. Untreated seals cohabiting with treated seals also exhibited increased resistance gene loads, suggesting exposure through environmental transmission. CONCLUSIONS: Antimicrobial treatments in rehabilitation settings alter the gut microbiome and enhance AMR gene persistence in seals. The potential risk of antimicrobial resistance transmission among rehabilitating seals suggests the need for antimicrobial stewardship as the risk of antimicrobial resistance contamination by seals returning to the wild is currently unknown. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1186/s42523-025-00449-1.		Animal microbiome
PRJNA643396	Gallus gallus	9031.0		Spain	181	WGS	ena_only									
PRJNA932774	mouse			Poland: Warszawa	24	WGA	pubmed	39354675.0	39354675							
PRJDB2695					1	WGS	ena_only									
PRJNA857725	Sus scrofa domesticus	9825.0		Canada:Alberta,Lacombe	60	AMPLICON	ena_only									
PRJNA887229	fish			China: Guangzhou	1	WGS	ena_only									
PRJNA821505	Gallus gallus	9031.0		USA: Baltimore	156	WGS	ena_only									
PRJNA812272	Mus musculus	10090.0			58	OTHER	pubmed	36321893.0	36321893							
PRJNA436633	Rhinopithecus roxellana	61622.0		China:Hubei	40	WGS	pubmed	41249177.0	41249177							
PRJEB71469	Danio rerio			Denmark	16	AMPLICON	pubmed	39290662.0	39290662	Sampling fish gut microbiota - A genome-resolved metagenomic approach.	Thormar EA	Limborg MT	Actinopterygii	Despite a surge in microbiota-focused studies in teleosts, few have reported functional data on whole metagenomes as it has proven difficult to extract high biomass microbial DNA from fish intestinal samples. The zebrafish is a promising model organism in functional microbiota research, yet studies on the functional landscape of the zebrafish gut microbiota through shotgun based metagenomics remain scarce. Thus, a consensus on an appropriate sampling method accurately representing the zebrafish gut microbiota, or any fish species is lacking. Addressing this, we systematically tested four methods of sampling the zebrafish gut microbiota: collection of faeces from the tank, the whole gut, intestinal content, and the application of ventral pressure to facilitate extrusion of gut material. Additionally, we included water samples as an environmental control to address the potential influence of the environmental microbiota on each sample type. To compare these sampling methods, we employed a combination of genome-resolved metagenomics and 16S metabarcoding techniques. We observed differences among sample types on all levels including sampling, bioinformatic processing, metagenome co-assemblies, generation of metagenome-assembled genomes (MAGs), functional potential, MAG coverage, and population level microdiversity. Comparison to the environmental control highlighted the potential impact of the environmental contamination on data interpretation. While all sample types tested are informative about the zebrafish gut microbiota, the results show that optimal sample type for studying fish microbiomes depends on the specific objectives of the study, and here we provide a guide on what factors to consider for designing functional metagenome-based studies on teleost microbiomes.		Ecology and evolution
